#星辰双拼专用简码（由 abbrev.txt 按星辰声母键重映射）
ufl	交换台\t结合体
uuc	经济舱\t芨芨草\t荆棘丛
uux	加减法\t激将法\t经济法
uug	肩胛骨\t精加工
uus	竞技场\t交界处\t就经常
uur	借记卡\t净进口\t几节课
uui	解决了\t经济林\t进给量
uum	金骏眉\t解解闷\t假睫毛
uuo	近几年\t娇娇女
uua	经纪人\t节假日
uut	晋级赛\t警戒色\t急加速
uul	近几天\t加鸡腿\t经济体
uop	纪念品\t加农炮
uyo	几千年\t禁区内
uyh	进取心\t交强险
uad	假如说\t尽人事\t既然是
uaj	金融业\t就容易
ulg	晶体管\t就通过
uds	寄生虫\t急刹车\t谏山创
uex	驾照分\t军政府\t鸡爪疯
ueu	假正经\t就直接
uer	急诊科\t贾樟柯
uem	就这么\t家长们
uea	截止日\t见证人
uel	晶状体\t脚趾头\t几张图
uee	居住证\t竞争者
uwn	巨无霸\t教务部
uwk	经纬度\t建文帝
uwf	居委会\t酒文化
uwu	鸡尾酒\t禁卫军
uwi	就为了\t就完了
uwo	几万年\t较往年
uwa	局外人\t几万人
uwd	家务事\t今晚上
uwe	健忘症\t绝望中
uwh	加微信\t基围虾\t经纬线
uwj	寄望于\t几万元
uhp	教学片\t荆霄鹏
uhj	仅限于\t交响乐\t就需要
ujt	交易所\t解压缩
ujv	基因组\t建议在\t脚丫子
uvn	尖子班\t极坐标\t酒糟鼻
uvu	剧作家\t就自己
uvl	金字塔\t就在他
uvj	就在于\t就再也
rnk	看不懂\t看不到
rng	看不惯\t看不过\t看病贵
rnu	看不见\t可不就
rnr	看不看\t肯不肯\t看不开
rni	快不了\t看不了
rnp	恐怖片\t快步跑
rne	扛不住\t靠不住
rnh	可比性\t可不行
rnj	可不要\t空白页
rkk	看得懂\t空荡荡\t肯定的
rkg	看得惯\t快递柜\t看到过
rks	看得出\t刻度尺\t开倒车
rki	看到了\t看多了\t口袋里
rky	看得起\t看得清
rkd	看电视\t看得上\t肯定是
rke	靠得住\t扛得住
rkj	快递员\t看电影\t肯定有
rxy	开发区\t开放区
rxd	开发商\t开放式
rxh	开放性\t扣分项\t抗风险
rxj	咖啡因\t口服液
rxv	开发组\t孔夫子
rgn	克格勃\t可改变
rge	恐高症\t恐鬼症
rfp	科幻片\t看黄片
rfv	葵花籽\t看孩子
rsn	开场白\t课程表
rsk	快车道\t考察队\t可耻的
rsu	空城计\t抗冲击
rsh	可持续\t开创性
rui	看见了\t科技类
rrh	可靠性\t可控性
ris	可怜虫\t刻录成
rmg	看门狗
rmf	开门红\t看漫画
rmi	喀麦隆\t卡米拉
rmv	扣帽子\t可满足
rof	困难户\t可能会
roi	困难了\t看腻了
rom	可能吗\t靠你们
roh	可能性\t康乃馨\t看那些
rpi	堪培拉\t开辟了
rys	看清楚\t空气锤\t开汽车
ryd	矿泉水\t喀秋莎
rao	看热闹\t可容纳
rth	可塑性\t扩散性
rlz	卡塔尔\t卡特尔
rlf	客套话\t开通后
rld	口头上\t课堂上
rlj	口头语\t看太阳
rdf	可视化\t口水话
rds	瞌睡虫\t开始唱
rdy	看上去\t开始前
rwn	勘误表\t枯萎病
rwu	矿务局\t库文件
rwl	科威特\t看问题
rwe	矿物质\t渴望着
rhc	空心菜
rhs	开小差\t科学城
rhd	亏心事\t看小说
rhh	可行性\t科学性
rjn	看一遍\t可以把
rjk	快一点\t可疑的
rje	客运站\t可以转
inf	老本行\t喇叭花\t罗宾汉
ino	老板娘\t黎巴嫩
inp	罗布泊\t两边跑
inl	老半天\t礼拜天\t罗伯特
icw	另存为
ikg	老大哥\t懒得管
ikr	离得开\t来得快
iko	老大难\t老大娘
iky	懒得去\t领导权
ikh	流动性\t领导下
ikj	老大爷\t老掉牙\t罗大佑
ixi	浪费了\t刘弗陵
ixl	立方体\t龙凤胎
ixe	两分钟\t来访者
ign	两个半\t老干部
igk	老古董\t连锅端\t乐观的
igg	老公公\t老光棍
igf	泸沽湖\t李国豪
igu	老规矩\t老管家
igr	理工科\t来概括
iga	两个人\t六个人
ige	两个钟\t罗贯中
igj	两个月\t略高于\t六个月
ifn	领红包\t龙虎榜\t厉害吧
ifd	两回事\t老和尚\t留后手
ifh	灵活性\t轮滑鞋\t梁慧星
ifj	老花眼\t林徽因
ius	龙井茶\t零基础\t垃圾场
iuy	立交桥\t拉进群\t了解其
iul	垃圾桶\t领奖台
iry	冷空气\t两块钱
ird	流口水\t理科生
irv	两口子\t咧开嘴
iir	老两口\t理论课
iid	理论上\t劳力士
imi	罗梅罗\t来没来
ime	龙门阵\t两秒钟
imv	绿帽子\t来满足
ipg	癞皮狗\t绿苹果
ipf	脸皮厚\t脸谱化
ipu	零配件\t拉偏架
ipp	老婆婆\t乱蓬蓬\t柳飘飘
ipj	老朋友\t荔浦芋
iyo	两千年\t六七年
iau	老人家\t路人甲
iai	利润率\t连日来
itg	两三个\t吝啬鬼\t李四光
itf	络腮胡\t牢骚话\t两三回
itu	两三句\t老司机
ito	两三年\t硫酸钠
ita	累死人\t冷死人
itt	凉飕飕\t冷飕飕\t两三岁
ilk	鹿特丹\t连通的
ilz	老头儿\t聊天儿
ili	两条路\t乱套了\t老头乐
ilp	老太婆\t乐天派\t恋童癖
ild	立体声\t聊天室
ilh	老同学\t离退休\t两条线
iee	连轴转\t笼罩着
iej	雷阵雨\t老中医
iwz	遛弯儿\t拉威尔
ihf	理想化\t冷笑话\t柳下惠
ihi	留下了\t留下来\t类型论
ihy	了下去\t拉下去\t沦陷区
ihl	旅行团\t练习题
ihe	老想着\t旅行者
ihh	连续性\t流行性\t来学习
ihv	两下子\t螺旋藻
ijn	另一半\t老一辈\t留言簿
ijc	来一次\t另一侧
ijf	联谊会\t莱茵河\t罗永浩
iji	聊一聊\t利用率\t练一练
ijm	另一面\t老爷们
ijp	录音棚\t另一篇
ijy	路由器\t连衣裙\t零用钱
ijd	露一手\t录音室
ije	另一种\t旅游者\t另一只
ijw	另一位\t类药物
ijj	来源于\t老爷爷\t绿油油
ivf	老字号\t量子化
ivv	老祖宗\t乱糟糟\t乐滋滋
mny	买不起\t摸不清
mna	明白人\t莫不如
mnl	摸不透\t绵白糖
mnj	没必要\t没毕业
mkm	面对面\t门对门
mzn	墨尔本\t马尔堡
mzg	明儿个\t摩尔根
mzy	门儿清
mzl	马耳他\t民二庭
mxi	麻烦了\t谋福利
mxe	每分钟\t魔法阵\t模仿者
mxh	没发现\t密封性
mgk	没搞懂\t敏感度\t镁光灯
mgx	没工夫\t没辜负
mgp	冒个泡\t买股票
mfz	毛孩儿\t眯会儿
mff	明晃晃\t每回合
mfi	买回来\t梅花鹿\t闷葫芦
mfy	灭火器\t没好气\t买回去
msh	没出息\t没承想\t没出现
mrx	麦克风\t迈克菲
mro	没可能\t麦康纳
mrt	马克思\t马库斯
mik	没料到\t忙碌的
mis	美联储\t名利场
miu	美利坚\t汨罗江\t麻辣鸡
mii	毛利率\t迷路了
mit	马拉松\t莫里斯
mid	马铃薯\t马路上
mie	面临着\t目录中
miw	麻辣味\t马拉维
mij	没理由\t马来亚\t玛利亚
miv	仫佬族\t茉莉子
mms	毛毛虫\t苗木诚
mme	每秒钟\t冥冥中\t弥漫着
mmj	毛毛雨\t眯眯眼
mof	慕尼黑\t没奈何\t闽南话
moi	马尼拉\t没能力
moj	木乃伊\t闽南语
mpl	孟婆汤\t没跑题
myk	马其顿\t玛奇朵\t明确的
myg	没去过\t煤气罐
myh	明确性\t民勤县
maz	美人儿
maj	美容院\t美人鱼
mti	穆斯林\t忙死了
mtw	没所谓\t穆萨维
mlk	没听懂\t没听到
mlx	满天飞\t木桶饭\t满庭芳
mlu	没听见\t明天见\t茅台酒
mli	摩天轮\t曼陀罗\t马蹄莲
mly	蒙太奇\t马头琴\t没听清
mla	木头人
mll	慢吞吞\t慢腾腾\t米跳台
mld	没听说\t马桶上
mlh	满天下\t没头绪\t满天星
mlj	猫头鹰\t每天要
men	门诊部\t美洲杯
mez	没准儿\t免征额
mef	民主化\t木质化
meu	民政局\t瞄准镜\t没主见
mei	命中率\t没着落\t瞄准了
mem	没这么\t墓志铭
mep	木制品\t免战牌\t棉织品
mee	没找着\t民主制
mew	没指望\t每周五
mej	没注意\t每周一
mhn	明细表\t慢性病
mhk	没想到\t明显的
mhg	墨西哥\t没想过\t没效果
mhp	明信片
mha	某些人\t喵星人
mhd	每小时\t明显是
mhe	明细账\t冒险者
mhv	慢性子\t明孝宗
mjn	每一步\t没有被
mjc	每一次\t没有错
mjk	慢一点\t每一段\t满意的
mjs	梦一场\t母夜叉\t每一处
mju	没意见\t每一句
mjr	每一刻\t每一款
mjm	每一秒\t摸一摸\t没有买
mjo	每一年\t牧羊女
mja	没有人\t明眼人
mjt	没意思\t莫耶斯
mjd	名义上\t没有说
mjj	慢悠悠\t没有用
mjv	明一早\t牡羊座\t每一组
mvk	毛泽东\t马自达
mvg	满足感\t没资格
mvm	没怎么\t毛泽民
ong	拗不过\t宁波港
onu	那不就\t脑白金
ony	南半球\t弄不清
ond	你不是\t那不是
one	拿不准\t耐不住\t能帮助
onv	你不在\t牛鼻子
oci	弄错了\t你错了
oct	女厕所\t男厕所
okn	脑电波\t尿蛋白
okg	脑袋瓜\t年代感\t你的歌
oki	拿到了\t逆定理\t你的脸
oxm	内分泌\t哪方面
ogz	尼姑庵\t哪个啊\t脑瓜儿
ogc	哪根葱\t你刚才
ogv	脑瓜子\t那个字\t能够在
ofz	那会儿\t女孩儿\t男孩儿
ofy	奈何桥\t拿回去
osi	年产量\t拿出来\t拿出了
ouk	能见度\t你觉得
orl	你看他\t脑壳痛
oik	年龄段\t哪来的\t努力的
oii	年利率\t你来了
omk	那么多\t诺曼底\t那么大
ome	南美洲\t柠檬汁
omj	难民营\t脑膜炎\t你没有
omv	哪门子\t脑门子\t能满足
ooi	努努力\t你那里
ooy	娘娘腔\t娜娜奇
oov	努努嘴\t你脑子
opi	拿破仑\t鸟嘌呤
opy	牛脾气\t闹脾气
opd	哪怕是\t那怕是
oph	牛皮癣\t南皮县
oyf	年轻化
oaz	尼日尔\t泥人儿
oam	牛肉面\t男人们
oap	牛肉片\t男人婆
oaa	暖融融\t闹嚷嚷\t难让人
oli	那条路\t哪条路
odt	鸟兽散\t能杀死
oek	脑震荡\t哪知道\t你知道
oej	乃至于\t拿主意\t你这样
ohn	脑细胞\t你先把
ohg	那些个\t南线阁
ohi	纽西兰\t拿下了
oho	那些年\t南匈奴
ohd	脑血栓\t女学生
ohv	那小子\t纳西族\t你现在
ojk	哪一点\t那样的
ojx	年夜饭\t哪一方
ojf	哪一回\t男一号
ojr	那一刻\t哪一款
oja	年月日\t牛羊肉
ojw	哪一位\t你以为
ojh	弄一下\t脑溢血\t耐用性
ovu	你自己\t娘子军
ovr	牛仔裤\t女租客
pnk	跑不掉\t疲惫的
pnp	怕不怕\t评不评
pnh	普遍性\t陪伴下
pkn	拍电报\t跑单帮\t跑得比
pxn	评分表\t批发部\t皮肤病
pxs	剖腹产\t平方差
pxm	平方米\t旁分泌
pxv	票贩子
pgv	爬格子\t泡个澡
pff	胖乎乎\t配合好
pfh	破坏性\t平衡性
psh	平常心\t排斥性
pui	破纪录\t潘金莲
pip	拍了拍\t漂流瓶
pil	跑龙套\t爬楼梯
pmy	贫民区\t排名前
ppp	砰砰砰\t啪啪啪
ppa	飘飘然\t评判人
ppl	泡泡糖
ppv	撇撇嘴\t拍片子
pyd	喷气式\t排气扇
pyh	迫切性\t平泉县
pai	平日里\t泡软了
pad	譬如说\t皮肉伤
pti	蒲松龄\t破损率
plg	葡萄干\t普通股
pli	泡汤了\t跑题了
pla	普通人\t莆田人
pll	葡萄糖\t偏头痛
pld	普陀山\t披头士\t平台上
plh	排他性\t平台型
plj	葡萄牙\t葡萄园
pdh	普适性\t平顺性
pef	破折号\t攀枝花\t品质好
pep	拍照片\t偏振片
pej	偏重于\t朴振英
phn	培训班\t培训部
phx	培训费\t排序法
phh	平行线\t培训下
phj	偏向于\t平行于
pjf	鄱阳湖\t便宜货
pjp	拼一拼\t拍一拍
pjy	朋友圈\t碰运气
pjh	拍一下\t皮影戏\t颇有些
yne	却不知\t情报站\t其本质
ynv	卡脖子\t齐步走\t翘辫子
ykx	清道夫\t卿大夫
ykf	千岛湖\t启动后
yks	气垫船\t骑单车
yky	瞧得起\t启动器
yke	期待着\t期待值
yxn	全封闭\t千分表\t千分比
yxf	千分号\t且符合
yxi	侵犯了\t欠费了
yxy	潜伏期\t其父亲
yxe	千分之\t七分钟
yxh	启发性\t前锋线
ygg	气鼓鼓\t群公告\t亲哥哥
ygu	缺根筋\t请根据
ygi	奇怪了\t全攻略
ygy	曲棍球\t切过去
ygh	全国性\t趋光性
ygj	庆功宴\t轻工业\t气管炎
ygv	潜规则\t枪杆子
yfc	青花瓷\t青花菜
yfk	秦皇岛\t切换到
yff	气呼呼\t青海湖
yfu	前后脚\t氰化钾
yfi	亲和力\t强化了
yfl	秋海棠\t签合同
yfd	青海省\t恰好是
yfw	前后文\t氰化物\t去华为
yuc	前几次\t清君侧
yuk	旗舰店\t千斤顶\t期间的
yug	清洁工\t前几个\t戚继光
yuu	清洁剂\t旗舰机\t情景剧
yui	请见谅\t请假了
yum	前几名\t取件码\t亲姐妹
yup	全键盘\t敲键盘
yul	前几天\t全家桶\t全景图
yuh	全局性\t请教下\t情境下
yuj	取决于\t且具有
yuv	前脚走\t强奸罪
yig	潜力股\t禽流感\t奇了怪
yoi	去哪了\t去哪里
ypf	俏皮话
ypp	轻飘飘\t却偏偏
yyz	蛐蛐儿
ytd	起诉书\t全算上
yls	全脱产\t钱塘潮
ylu	钱塘江\t其他家
yly	青铜器\t窃听器
ydo	青少年\t其实你
yek	圈重点\t起征点\t铅中毒
yex	区政府\t清政府
yeu	驱逐舰\t起重机
yeo	青壮年\t去找你
yet	清真寺\t屈指算
yeh	强制性\t请知悉
yej	求知欲\t求助于\t请注意
yev	前阵子\t牵着走
ywm	区位码\t前五名
ywe	期望值\t期望着
yhf	情绪化\t取消后
yhu	强心剂\t气象局\t七夕节
yho	前些年\t期限内
yhl	前些天\t曲线图\t气象台
yjn	晴雨表\t企业版
yjc	去一次\t前一次
yjk	前一段\t迁移到
yjx	七月份\t秦玥飞
yjf	全运会\t区域化\t企业号
yju	企业家\t企业级
yji	请原谅\t强有力\t其原理
yjy	瞧一瞧\t敲一敲
yjd	潜意识\t其一是
yjh	区域性\t轻一些
yjj	起源于\t轻音乐\t去医院
yvn	签字笔\t去做吧
yvh	请咨询
yvj	起作用\t其作用
ank	容不得\t人不多
ans	认不出\t仍保持
ani	饶不了\t然并卵\t忍不了
any	惹不起\t认不清
ana	日本人\t让不让\t热不热
anh	容不下\t人不晓
akk	肉嘟嘟\t扔掉的
akf	惹的祸\t任达华
akj	热带鱼\t人都有
akv	软刀子\t人都在
azm	日耳曼
agy	绕个圈\t绕过去
agj	日光浴\t如果有
afu	润滑剂\t热乎劲\t然后就
afd	任何事\t然后说
asn	日程表\t热插拔
asx	入场费\t阮成发
asy	入场券\t扔出去
aum	肉夹馍\t溶菌酶
aup	软键盘\t人界篇
auj	软件园
ari	绕口令\t人看来
ary	热空气
aii	人流量\t热辣辣\t人来了
aia	揉了揉\t日历日
amm	软绵绵\t绒毛膜
aoi	忍耐力\t惹怒了
aow	日内瓦\t芮乃伟
app	软趴趴
apd	日偏食\t软盘上
ayy	热气球\t绕圈圈
ayd	日全食\t日全蚀
aye	人情债\t任期制\t人群中
ayw	人情味\t人气旺
ayv	燃气灶\t绕圈子
aad	热热身\t仍然是
aah	柔韧性\t软弱性
ati	认死理\t热死了
atl	染色体\t肉丝汤
alm	人头马\t让他们
all	热腾腾\t任天堂\t软塌塌
ald	人头税\t如图示
adg	人生观\t入射光
ady	热水器\t人身权\t妊娠期
aea	绕指柔\t入住人
aej	热衷于\t若真有
awi	任务栏\t让我来
awv	绕弯子\t让我再
ahk	人行道\t热心度
ahf	人性化\t热销货\t入学后
aha	热心人\t人下人
ajg	荣誉感\t让一个
ajp	日用品\t肉燕皮
ajy	任意球\t绕一圈
ajl	日月潭\t扔烟头
ajw	容易忘\t汝阳王
tnk	斯巴达\t三班倒
tng	三不管\t三百个
tnf	三把火\t所包含
tnu	所不及\t随笔集
tno	随便你\t三百年
tny	三部曲\t四部曲
tnt	算不算\t斯宾塞
tnd	算不上\t三本书
tnv	腮帮子\t三步走
tku	三等奖\t三大件
tki	随大流\t死定了\t斯大林
tka	三代人\t宋大仁
tkh	私底下\t三叠系\t速度型
txc	私房菜\t苏坟村
txu	司法局\t送风机\t司法界
txl	送分题\t三伏天\t司法厅
tgn	三个半\t所公布
tgi	苏格兰\t送过来
tgp	算个屁\t送果盘
tge	三国志\t三个钟
tgv	三个字\t四个字
tfu	松花江\t塑化剂
tfi	撒哈拉\t孙红雷
tft	四环素
tfl	死胡同\t三合土
tuc	私家菜\t三家村
tuf	三句话\t三结合\t随机化
tus	私家车
dus	时间差\t时间戳
tuy	丧家犬\t塞进去
try	松口气\t三块钱
trt	萨克斯\t斯卡斯
trl	思考题\t斯科特
tin	算了吧\t司令部\t赛璐玢
tig	三连冠\t司令官\t塞林格
tir	四六开\t斯洛克
tii	赛璐珞\t酸溜溜\t森林里
tim	所罗门\t死了吗
tio	苏里南\t锁麟囊
tit	算了算\t索罗斯
tih	三两下\t三路线
tij	司令员\t三连音
tiv	撒拉族\t散落在
tmi	索马里\t宿命论\t所面临
tmm	色眯眯
tme	三明治\t司马昭
tmj	扫描仪\t萨摩耶
ton	随你吧\t随你便
tor	斯诺克\t苏纳克
tpi	撕破脸\t四牌楼
tyr	三七开\t三千块
tyi	算起来\t死去了
tyy	死翘翘
tyj	三缺一\t三千元
ttu	耸耸肩\t三色堇\t三四级
ttt	三四岁\t嘶嘶嘶
ttl	三四天\t三丝汤
tli	三条路\t丧天良\t斯特拉
tly	随他去\t三天前
tdz	塞舌尔\t三十二
tdf	私生活\t松山湖
tdo	三十年\t私生女\t四十年
tdl	随身听\t三十天
twr	孙悟空\t三万块
twi	死亡率\t三万里
twt	四五岁\t三万三
twj	三文鱼\t三万元
thk	三兄弟\t三星堆
thu	思想家\t四星级\t三星级
thd	思想上\t三小时
thw	色香味\t私信我
thh	思想性\t苏小小
tjf	私有化\t酥油花\t所以会
tjt	扫一扫\t算一算\t搜一搜
tjd	所以说\t四元数
tjj	饲养员\t扫一眼\t所以有
tvj	嗓子眼\t宋祖英
lzi	太矮了\t太暗了
lnc	挺不错\t特别脆
lng	通不过\t特别高
lnu	听不见\t它不仅
lni	太棒了\t谈不来\t填补了
lky	提得起\t特地去
lkd	谈得上\t特点是
lxn	挺方便\t驼峰鼻
lxu	通风机\t太费劲\t田福军
lxi	太富了\t天妇罗\t特氟龙
lxh	突发性\t同方向
lgx	太过分\t透光阀\t托管费
lgg	头盖骨\t提供给
lgh	提个醒\t托关系
lgj	铁观音\t涂改液\t太过于
lfn	天花板\t童话般
lsw	停车位\t填充物
lui	听见了\t太久了
luy	太极拳\t推进器
lut	田径赛\t统计司
liz	谈恋爱\t退了啊
lix	吐鲁番\t特吕弗
lif	挺厉害\t体力活
liu	拖拉机\t铁路局\t图灵奖
lii	太累了\t太老了
lia	同龄人\t同路人\t太令人
lit	托拉斯\t天蓝色
lih	铁了心\t同类型
liv	捅娄子\t铁离子
lme	投名状\t铁木真
lot	突尼斯\t天宁寺
lpx	通配符\t退票费
lpr	突破口\t图片库
lpy	踢皮球\t投票权
lph	突破性\t拓扑学\t头皮屑
lpj	太平洋\t太便宜
lyk	跆拳道\t提前到
lys	听清楚\t通勤车\t提取出
lyu	探亲假\t特权级
lyh	同情心\t透气性
lyj	听其言\t天球仪\t提取液
lau	突然间\t唐人街
lai	天然林\t太热了\t太弱了
lam	天然萌\t甜如蜜\t同仁们
lah	讨人嫌\t突然性
laj	讨人厌\t挺容易\t太容易
llg	退堂鼓\t疼痛感
lls	土特产\t特推出
llu	推土机\t凸透镜
lli	淘汰了\t弹跳力\t吞吐量
llt	淘汰赛\t团体赛
lld	提提神\t天台山\t天天说
llw	抬头纹\t踢踏舞\t天天玩
ldh	特殊性\t他手下
lem	同志们\t特征码
led	通知书\t他只是
lwk	台湾岛\t甜味的
lwf	题外话\t退伍后
lwu	体温计\t跳舞机\t甜味剂
lwi	太晚了\t图瓦卢\t调味料
lwp	调味品\t调味瓶
lwt	同位素
lwl	天文台\t提问题
lwd	台湾省\t听我说
lwh	天文学\t天王星
lhs	体现出\t通信处\t挑选出
lhu	退休金\t探险家
lhm	同学们\t条形码
lhd	通讯社\t调香师
lhe	通行证\t体现着
lhw	碳纤维\t铜臭味
lhh	挑衅性\t图形学
lhj	同心圆\t通讯员\t腾讯云
ljc	同义词\t头一次
ljg	同一个\t体育馆
ljs	体育场\t统一成
ljo	太阳能\t头一年
ljh	太阳系\t太阳穴\t椭圆形
ljj	投影仪\t听音乐
ljv	同音字\t同样在
lvi	太早了\t偷走了
lve	投资者\t团组织
dnx	少部分\t商标法
dnf	说不好\t收不回\t势必会
dnu	商标局\t社保局
dnr	社保卡\t上本科
dno	上半年\t是不能
dny	上不去\t说不清
dnt	十八岁\t是白色
dne	睡不着\t殊不知\t说不准
dnw	说不完\t上百万
dnj	上半夜\t上百亿
dnv	上辈子\t使绊子\t上白泽
dcu	收藏夹\t收藏家
dcp	收藏品\t闪存盘
dkg	十多个\t时代感\t收到过
dkm	收到没\t是多么
dko	十多年\t蜀道难
dky	水电气\t省点钱
dka	十多人\t山东人
dkl	手电筒\t识大体\t十多天
dkd	山东省\t说的是
dzj	十二月\t省二院
dgg	山沟沟\t水管工
dgl	摔跟头\t施工图
dfd	实话说\t上海市\t石灰石
drn	时刻表\t深拷贝
dri	顺口溜\t上课了
drj	社科院\t是可以
dig	十来个\t疏离感\t失落感
dif	数理化\t省略号
diu	数量级\t睡懒觉\t生力军
dit	说了算\t少林寺\t十六岁
dil	水龙头\t杀了他
dih	生理学\t生理性
dmy	生闷气\t是目前
dml	水蜜桃\t生命体
dme	实名制\t生命值
dmv	数目字\t深埋在
dog	少年宫\t水暖工\t是哪个
dpg	审判官\t水平高
dpm	水平面\t商品名
dpy	适配器\t审判权\t手抛球
dph	水平线\t视平线
dyn	受气包\t申请表
dys	说清楚\t使汽车
dyt	十七岁\t世青赛
dyh	双曲线\t上前线
daf	说人话\t上任后
das	双人床\t输入串
dau	双刃剑\t说人家
dat	收容所\t上热搜
dtk	十三点\t世俗的
dtt	十四岁\t十三岁
dte	生死战\t十三辙\t上诉状
dls	手推车\t石头城
dli	伤透了\t受胎率\t渗透率
dlw	生态位\t竖条纹\t上图为
dlh	试探性\t渗透性\t生态学
dek	谁知道\t是真的
dex	市政府\t省政府
del	手指头\t刷真题
ded	深圳市\t实质上
dwc	商务舱\t鼠尾草
dwm	视网膜\t是我们
dwy	生物圈\t受委屈
dwt	事务所\t十五岁
dwl	生物体\t啥问题
dwd	十位数\t杀无赦\t手腕上
dwe	生物钟\t守望者
dhx	手续费\t失心疯\t盛行风
dhf	说瞎话\t生小孩
dhu	数学家\t摄像机
dha	双休日\t手下人\t陕西人
dhl	摄像头\t数学题
dhe	受限制\t属性值
djc	上一次\t上一层
djx	十月份\t使用费
djf	双引号\t商业化
dja	受益人\t涮羊肉
djl	示意图\t收银台
dje	是一种\t受益者\t使用者
djj	适用于\t十一月\t收银员
dvj	受阻于\t水资源
enn	皱巴巴\t这不比
enc	真不错\t只保存
enk	找不到\t长不大\t准备的
enu	直播间\t猪八戒\t制冰机
enr	睁不开\t准备看
end	这本书\t这不是
ene	找不着\t准不准\t值不值
enh	装不下\t这部戏
enj	止步于\t准备用
env	这辈子\t这帮子
eku	战斗机\t祝大家
ekm	知道吗\t值得吗
eko	正当年\t知道你
efd	这回事\t正好是
eug	芝加哥\t这几个
euf	这句话\t证监会
euo	这几年\t拯救你
eup	中间派\t椎间盘\t这几篇
ere	准考证\t竺可桢
erw	重口味\t周康王
erh	只可惜\t真可惜
erj	中科院\t这可以
eio	中老年\t这两年
eil	这两天\t这两条
eid	蒸馏水\t这里是
eij	致力于\t这里有
emn	这么笨\t这么棒
emm	这么慢\t装门面\t这么猛
emp	这么胖\t这么拼
ema	掌门人\t证明人\t折磨人
eml	皱眉头\t真命题
emw	这么晚\t这么问
emv	这么早\t摘帽子\t这么做
eoz	执牛耳\t住哪儿
eol	这年头\t智囊团\t珍妮特
eoe	指南针\t指南者
epa	制片人\t纸片人\t正派人
epj	占便宜\t找朋友
eyx	正前方\t证券法
eyg	支气管\t占全国
eyu	中秋节\t中情局\t这期间
eya	知其然\t知情人\t债权人
eyh	准确性\t正确性\t周期性
eyj	知其一\t钟情于
etj	之所以\t占所有
eln	涨停板\t招投标
elg	主题歌\t转托管\t只提供
els	直通车\t这条船
eli	这条路\t状态栏
elm	这特么\t真他妈\t找他们
ela	猪头肉\t猪腿肉
ell	直挺挺\t侦探团
elh	状态下\t重头戏\t主体性
elv	摘桃子\t猪蹄子\t周天子
edh	真实性\t只剩下
een	正准备\t真正把
eed	这种事\t这正是
ewn	中文版\t正误表\t猪尾巴
ewm	中文名\t找我们
ehu	照相机\t哲学家
eho	这些年\t执行难
ehy	中心区\t转向器\t这些钱
ehl	这些天\t折线图
ejc	这一次\t中药材
ejz	扎伊尔\t针眼儿\t这样啊
ejx	障眼法\t找一份
ejm	至于吗\t这一幕\t张艺谋
ejy	转一圈\t竹叶青\t占有权
ejl	这一天\t这一套
ejv	这样子\t这样做
evf	栀子花\t只在乎
wnn	喂不饱\t我并不
wnc	窝边草\t五百次
wnk	王八蛋\t我不懂
wns	完不成\t问不出
wny	玩不起\t我不去
wne	玩不转\t握不住\t我保证
wnw	玩不玩\t我把我
wcv	误操作\t我曾在
wke	五大洲\t卫队长\t我带着
wkh	稳定性\t我的心
wzm	沃尔玛\t玩儿命
wzw	沃尔沃\t玩儿完
wgx	晚高峰\t误工费
wgf	温哥华\t无怪乎
wgj	五个月\t外国语
wgv	五个字\t捂盖子\t无规则
wfc	文化层\t武侯祠\t我很菜
wfx	未婚夫\t维护费
wfy	未婚妻\t文化圈
wsk	完成度\t胃肠道
wsi	完成了\t挖出来
wsm	无重码\t五常米
wso	未成年
wse	无产者\t维持着
wuv	伪君子\t我就在
wrh	伪科学\t五颗星
wrj	胃溃疡\t无愧于\t我可以
win	忘了吧\t为了不
wik	五六点\t窝里斗\t未来的
wix	窝里反\t晚礼服
wig	乌拉圭\t我老公
wif	网络化\t王力宏
wis	乌龙茶\t五辆车
wir	往来款\t我立刻
wio	五六年\t为了能
wiy	为了钱\t乌龙球
wit	蔚蓝色\t五六岁\t威利斯
wih	物理学\t物理系
wij	五粮液\t无理由
wml	伪命题\t亡命徒\t我每天
woy	窝囊气\t五年前
wot	威尼斯\t维纳斯
wod	毋宁说\t我那时
wau	无人机\t无人迹
wam	万人迷\t为人民
waj	污染源\t五日游
wto	外孙女\t我送你
wln	乌托邦\t问题吧
wlf	渥太华\t问题后
wlu	无条件\t挖土机\t舞台剧
wla	委托人\t我突然
wez	无障碍\t我只爱
wex	无政府\t伪政府
weg	为中国\t尾椎骨
wef	无纸化\t稳准狠\t完之后
weh	完整性\t我只想
wej	无助于\t我终于
wwi	娃娃脸\t唯物论\t玩完了
whk	无线电\t无限大\t无限的
whs	维修厂\t胃下垂\t无限长
whu	文学家\t五星级
whp	五线谱\t武侠片
why	微信群\t无限期\t危险期
whe	无形中\t无休止\t我心中
whw	无线网\t我希望
whh	危险性\t我相信
wjk	晚一点\t无影灯\t唯一的
wjz	玩意儿\t为诱饵
wjx	五月份\t物业费
wjg	无用功\t我一个
wji	无压力\t无语了
wjo	维也纳\t我也能
wje	无意中\t我一直
wjj	网易云\t无意义\t无异于
wvx	外祖父\t卫子夫
