#星辰双拼专用简码（由 abbrev.txt 按星辰声母键重映射）
kef	打招呼\t地中海\t大众化
kei	电渣炉\t呆住了
kej	都这样\t党中央
kev	兜着走\t大制作
kwk	等我到\t低纬度
kwu	端午节\t第五季
kwi	都忘了\t都完了\t耽误了
kwl	等问题
kwe	队伍中\t单位制
kwh	等温线\t等我下
khw	定心丸\t都希望
kji	第一轮\t大意了\t独眼龙
kjp	电影票\t单眼皮\t代用品
kje	第一种\t大洋洲
kjv	多音字\t的样子
kvc	倒栽葱
kvu	打字机\t对自己
kvi	肚子里\t都走了\t电子流
kvp	动作片
kva	大自然
kve	党组织\t打嘴仗
kvj	打字员
znk	二把刀
znd	而不是\t二把手
znw	二百五\t二百万
zcj	二次元
zgv	耳刮子\t二狗子\t矮个子
zfl	二婚头
zue	二进制\t恶即斩
zim	饿了么
ziv	二流子\t二愣子
zpx	耳旁风
zwm	二维码\t而我们
zvu	恶作剧
xnk	防波堤
